source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
0,6,direct,24.0,LINCOLNSHIRE,0.0,24.0,0.5993150684931506
0,6,indirect,8.0,LINCOLNSHIRE,0.0,8.0,0.4326923076923077
0,7,direct,65.0,LINCOLNSHIRE,0.0,65.0,0.823709167544784
0,7,indirect,1.0,LINCOLNSHIRE,0.0,1.0,1.0
0,8,direct,137.0,LINCOLNSHIRE,54.0,83.0,0.77727347747153
0,8,indirect,11.0,LINCOLNSHIRE,0.0,11.0,0.5979020979020979
AVON,6,direct,1466.0,WILTSHIRE,365.0,1101.0,0.1376797879446068
AVON,6,indirect,258.0,WILTSHIRE,17.0,241.0,0.23355855028825323
AVON,7,direct,1836.0,WILTSHIRE,683.0,1153.0,0.10938388997208759
AVON,7,indirect,162.0,WILTSHIRE,13.0,149.0,0.1967318999821821
AVON,8,direct,1885.0,WILTSHIRE,812.0,1073.0,0.1447709352511086
AVON,8,indirect,167.0,WILTSHIRE,9.0,158.0,0.2142097009073597
BEDFORDSHIRE,6,direct,346.0,LINCOLNSHIRE,77.0,269.0,0.05669290422418857
BEDFORDSHIRE,6,indirect,4.0,LINCOLNSHIRE,0.0,4.0,0.6071428571428572
BEDFORDSHIRE,7,direct,407.0,LINCOLNSHIRE,62.0,345.0,0.13624549227733548
BEDFORDSHIRE,7,indirect,2.0,LINCOLNSHIRE,0.0,2.0,0.3142857142857143
BEDFORDSHIRE,8,direct,340.0,LINCOLNSHIRE,90.0,250.0,0.1594115805946792
BEDFORDSHIRE,8,indirect,1.0,LINCOLNSHIRE,0.0,1.0,0.8571428571428572
BERKSHIRE,6,direct,597.0,HAMPSHIRE,167.0,430.0,0.2660396909718123
BERKSHIRE,6,indirect,18.0,HAMPSHIRE,4.0,14.0,0.5702479338842975
BERKSHIRE,7,direct,686.0,HAMPSHIRE,191.0,495.0,0.2510690662974927
BERKSHIRE,7,indirect,3.0,HAMPSHIRE,0.0,3.0,0.8677685950413223
BERKSHIRE,8,direct,582.0,HAMPSHIRE,210.0,372.0,0.0883730873496716
BERKSHIRE,8,indirect,14.0,HAMPSHIRE,2.0,12.0,0.5537190082644627
BORDERS,6,direct,3248.0,STRATHCLYDE,1182.0,2066.0,0.07055841395497081
BORDERS,6,indirect,533.0,STRATHCLYDE,130.0,403.0,0.16155039733643248
BORDERS,7,direct,2653.0,STRATHCLYDE,1112.0,1541.0,0.09246680442373377
BORDERS,7,indirect,504.0,STRATHCLYDE,161.0,343.0,0.1030475698416799
BORDERS,8,direct,2740.0,STRATHCLYDE,1042.0,1698.0,0.18011994273158752
BORDERS,8,indirect,546.0,STRATHCLYDE,170.0,376.0,0.2399461352006464
BUCKINGHAMSHIRE,6,direct,1568.0,MID GLAMORGAN,245.0,1323.0,0.1791906082821478
BUCKINGHAMSHIRE,6,indirect,92.0,MID GLAMORGAN,25.0,67.0,0.3464454492911298
BUCKINGHAMSHIRE,7,direct,1980.0,MID GLAMORGAN,292.0,1688.0,0.1835655710465907
BUCKINGHAMSHIRE,7,indirect,131.0,MID GLAMORGAN,29.0,102.0,0.20467640359104922
BUCKINGHAMSHIRE,8,direct,1976.0,MID GLAMORGAN,125.0,1851.0,0.1659041557174553
BUCKINGHAMSHIRE,8,indirect,184.0,MID GLAMORGAN,40.0,144.0,0.4513256137686662
CAMBRIDGESHIRE,6,direct,1181.0,LINCOLNSHIRE,631.0,550.0,0.1204567934538261
CAMBRIDGESHIRE,6,indirect,162.0,LINCOLNSHIRE,41.0,121.0,0.30774289002137106
CAMBRIDGESHIRE,7,direct,1018.0,LINCOLNSHIRE,522.0,496.0,0.3247403560830861
CAMBRIDGESHIRE,7,indirect,108.0,LINCOLNSHIRE,21.0,87.0,0.4616823595435555
CAMBRIDGESHIRE,8,direct,1190.0,LINCOLNSHIRE,667.0,523.0,0.4035277341216031
