Month & Year of Movement,From County,To County,To Location Type,Direct Movements,Indirect Movements
Jan-10,AVON,AVON,Slaughterhouse,586,11
Jan-10,AVON,BEDFORDSHIRE,Slaughterhouse,34,12
Jan-10,AVON,CENTRAL,Slaughterhouse,0,0
Jan-10,AVON,CORNWALL,Slaughterhouse,5,14
Jan-10,AVON,CUMBRIA,Slaughterhouse,0,1
Jan-10,AVON,DEVON,Slaughterhouse,0,17
Jan-10,AVON,DYFED,Slaughterhouse,5,4
Jan-10,AVON,GLOUCESTERSHIRE,Slaughterhouse,9,27
Jan-10,AVON,LANCASHIRE,Slaughterhouse,26,8
Jan-10,AVON,LINCOLNSHIRE,Slaughterhouse,114,5
Jan-10,AVON,MID GLAMORGAN,Slaughterhouse,169,0
Jan-10,AVON,OXFORDSHIRE,Slaughterhouse,0,13
Jan-10,AVON,SHROPSHIRE,Slaughterhouse,5,16
Jan-10,AVON,SOMERSET,Slaughterhouse,87,6
Jan-10,AVON,WILTSHIRE,Slaughterhouse,505,5
Jan-10,AVON,0,Slaughterhouse,8,35
Jan-10,BEDFORDSHIRE,BEDFORDSHIRE,Slaughterhouse,195,0
Jan-10,BEDFORDSHIRE,CAMBRIDGESHIRE,Slaughterhouse,13,0
Jan-10,BEDFORDSHIRE,GREATER LONDON,Slaughterhouse,4,0
Jan-10,BEDFORDSHIRE,LEICESTERSHIRE,Slaughterhouse,3,0
Jan-10,BEDFORDSHIRE,LINCOLNSHIRE,Slaughterhouse,75,2
Jan-10,BEDFORDSHIRE,OXFORDSHIRE,Slaughterhouse,2,3
Jan-10,BEDFORDSHIRE,SHROPSHIRE,Slaughterhouse,28,0
Jan-10,BEDFORDSHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,2
Jan-10,BERKSHIRE,AVON,Slaughterhouse,42,2
Jan-10,BERKSHIRE,BEDFORDSHIRE,Slaughterhouse,44,0
Jan-10,BERKSHIRE,CUMBRIA,Slaughterhouse,2,0
Jan-10,BERKSHIRE,DEVON,Slaughterhouse,0,2
Jan-10,BERKSHIRE,HAMPSHIRE,Slaughterhouse,148,0
Jan-10,BERKSHIRE,LINCOLNSHIRE,Slaughterhouse,34,0
Jan-10,BERKSHIRE,MID GLAMORGAN,Slaughterhouse,14,0
Jan-10,BERKSHIRE,OXFORDSHIRE,Slaughterhouse,12,6
Jan-10,BERKSHIRE,SOMERSET,Slaughterhouse,107,1
Jan-10,BERKSHIRE,SOUTH YORKSHIRE,Slaughterhouse,5,12
Jan-10,BERKSHIRE,SURREY,Slaughterhouse,91,0
Jan-10,BERKSHIRE,WILTSHIRE,Slaughterhouse,2,4
Jan-10,BERKSHIRE,,Slaughterhouse,42,0
Jan-10,BORDERS,BORDERS,Slaughterhouse,234,117
Jan-10,BORDERS,CENTRAL,Slaughterhouse,957,56
Jan-10,BORDERS,CLEVELAND,Slaughterhouse,3,6
Jan-10,BORDERS,CUMBRIA,Slaughterhouse,2,13
Jan-10,BORDERS,DERBYSHIRE,Slaughterhouse,0,3
Jan-10,BORDERS,DEVON,Slaughterhouse,0,2
Jan-10,BORDERS,DURHAM,Slaughterhouse,26,15
Jan-10,BORDERS,GRAMPIAN,Slaughterhouse,238,26
Jan-10,BORDERS,GREATER MANCHESTER,Slaughterhouse,0,5
Jan-10,BORDERS,HIGHLAND,Slaughterhouse,64,20
Jan-10,BORDERS,LANCASHIRE,Slaughterhouse,8,0
Jan-10,BORDERS,NORTH YORKSHIRE,Slaughterhouse,3,1
Jan-10,BORDERS,SOUTH YORKSHIRE,Slaughterhouse,202,9
Jan-10,BORDERS,STRATHCLYDE,Slaughterhouse,"1,298",118
Jan-10,BORDERS,TAYSIDE,Slaughterhouse,157,52
Jan-10,BORDERS,TYNE & WEAR,Slaughterhouse,13,0
Jan-10,BORDERS,WEST YORKSHIRE,Slaughterhouse,102,69
Jan-10,BORDERS,,Slaughterhouse,84,29
Jan-10,BUCKINGHAMSHIRE,AVON,Slaughterhouse,8,0
Jan-10,BUCKINGHAMSHIRE,BEDFORDSHIRE,Slaughterhouse,246,0
Jan-10,BUCKINGHAMSHIRE,CAMBRIDGESHIRE,Slaughterhouse,1,0
Jan-10,BUCKINGHAMSHIRE,CENTRAL,Slaughterhouse,61,0
Jan-10,BUCKINGHAMSHIRE,CORNWALL,Slaughterhouse,40,0
Jan-10,BUCKINGHAMSHIRE,DERBYSHIRE,Slaughterhouse,0,1
Jan-10,BUCKINGHAMSHIRE,GREATER LONDON,Slaughterhouse,25,0
Jan-10,BUCKINGHAMSHIRE,HAMPSHIRE,Slaughterhouse,5,7
Jan-10,BUCKINGHAMSHIRE,LANCASHIRE,Slaughterhouse,253,0
Jan-10,BUCKINGHAMSHIRE,LINCOLNSHIRE,Slaughterhouse,339,3
Jan-10,BUCKINGHAMSHIRE,MID GLAMORGAN,Slaughterhouse,275,71
Jan-10,BUCKINGHAMSHIRE,NORFOLK,Slaughterhouse,0,1
Jan-10,BUCKINGHAMSHIRE,OXFORDSHIRE,Slaughterhouse,28,14
Jan-10,BUCKINGHAMSHIRE,SHROPSHIRE,Slaughterhouse,6,0
Jan-10,BUCKINGHAMSHIRE,SOMERSET,Slaughterhouse,8,0
Jan-10,BUCKINGHAMSHIRE,SOUTH YORKSHIRE,Slaughterhouse,88,50
Jan-10,BUCKINGHAMSHIRE,SURREY,Slaughterhouse,179,10
Jan-10,BUCKINGHAMSHIRE,WARWICKSHIRE,Slaughterhouse,1,0
Jan-10,BUCKINGHAMSHIRE,WEST YORKSHIRE,Slaughterhouse,0,2
Jan-10,BUCKINGHAMSHIRE,,Slaughterhouse,141,0
Jan-10,CAMBRIDGESHIRE,BEDFORDSHIRE,Slaughterhouse,181,7
Jan-10,CAMBRIDGESHIRE,CAMBRIDGESHIRE,Slaughterhouse,44,0
Jan-10,CAMBRIDGESHIRE,CHESHIRE,Slaughterhouse,0,1
Jan-10,CAMBRIDGESHIRE,CORNWALL,Slaughterhouse,86,0
Jan-10,CAMBRIDGESHIRE,DERBYSHIRE,Slaughterhouse,0,4
Jan-10,CAMBRIDGESHIRE,ESSEX,Slaughterhouse,4,18
Jan-10,CAMBRIDGESHIRE,GREATER MANCHESTER,Slaughterhouse,0,6
Jan-10,CAMBRIDGESHIRE,HAMPSHIRE,Slaughterhouse,0,4
Jan-10,CAMBRIDGESHIRE,LINCOLNSHIRE,Slaughterhouse,429,41
Jan-10,CAMBRIDGESHIRE,NORFOLK,Slaughterhouse,23,24
Jan-10,CAMBRIDGESHIRE,NORTH YORKSHIRE,Slaughterhouse,0,19
Jan-10,CAMBRIDGESHIRE,NOTTINGHAMSHIRE,Slaughterhouse,0,17
Jan-10,CAMBRIDGESHIRE,OXFORDSHIRE,Slaughterhouse,0,2
Jan-10,CAMBRIDGESHIRE,SHROPSHIRE,Slaughterhouse,26,2
Jan-10,CAMBRIDGESHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,6
Jan-10,CAMBRIDGESHIRE,STAFFORDSHIRE,Slaughterhouse,0,5
Jan-10,CAMBRIDGESHIRE,SURREY,Slaughterhouse,0,1
Jan-10,CAMBRIDGESHIRE,WEST YORKSHIRE,Slaughterhouse,0,9
Jan-10,CAMBRIDGESHIRE,,Slaughterhouse,1,34
Jan-10,CENTRAL,BORDERS,Slaughterhouse,0,1
Jan-10,CENTRAL,CENTRAL,Slaughterhouse,670,87
Jan-10,CENTRAL,CUMBRIA,Slaughterhouse,55,6
Jan-10,CENTRAL,DERBYSHIRE,Slaughterhouse,39,12
Jan-10,CENTRAL,FIFE,Slaughterhouse,0,0
Jan-10,CENTRAL,GRAMPIAN,Slaughterhouse,123,37
Jan-10,CENTRAL,HIGHLAND,Slaughterhouse,5,2
Jan-10,CENTRAL,LANCASHIRE,Slaughterhouse,81,14
Jan-10,CENTRAL,SOUTH YORKSHIRE,Slaughterhouse,0,1
