object_kind,object_id,object_class,quantity,quantity_period,observation_calculation_class,model_use,evidence_reference,claim_boundary
node,DZA-M-SIX-VEGETABLES-3E6DA2639,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-SIX-VEGETABLES-3C7DAE3AC,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-DZA-BOUMERDES-VEG-2024,location-product pair retained from evidence record; quantity may be unresolved
node,DZA-M-SIX-VEGETABLES-FA30EB84A,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-SIX-VEGETABLES-827F45141,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-SIX-VEGETABLES-984E6B62F,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-THREE-FRUITS-8F358485D,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-THREE-FRUITS-D58A31A77,mass_labelled_commodity_state,,,structural_or_context_observation,location-product pair retained from evidence record; quantity may be unresolved,CHEM-DZA-BOUMERDES-VEG-2024,location-product pair retained from evidence record; quantity may be unresolved
node,DZA-M-THREE-FRUITS-466ADDC13,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-THREE-FRUITS-1F6BC2D0E,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
node,DZA-M-THREE-FRUITS-72176B40E,mass_labelled_commodity_state,,,registry_scaffold,product reported for compound parent; member-specific product and quantity unresolved,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved
