route_id,from_node_id,to_node_id,country,iso3,from_name,to_name,source_longitude,source_latitude,destination_longitude,destination_latitude,great_circle_distance_km,food_domains,route_kind,evidence_class,quantitative_state,mass_balance_use,cross_border,road_geometry_status,source_reference,claim_boundary,origin_release
GEO_ROUTE_AA6C3C670E6CB2,GEO_AGO_2240449,GEO_AGO_2239888,Angola,AGO,Luanda,Maianga,13.23432,-8.83682,13.23698,-8.84693,1.162,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_BD2C4D4052FF81,GEO_AGO_2239888,GEO_AGO_2240449,Angola,AGO,Maianga,Luanda,13.23698,-8.84693,13.23432,-8.83682,1.162,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_1DFB3D03F1D57D,GEO_AGO_2240449,GEO_AGO_2591953,Angola,AGO,Luanda,Golfe,13.23432,-8.83682,13.26173,-8.86639,4.459,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_BAD27C336D5B51,GEO_AGO_2591953,GEO_AGO_2240449,Angola,AGO,Golfe,Luanda,13.26173,-8.86639,13.23432,-8.83682,4.459,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_A926C572588025,GEO_AGO_8307074,GEO_AGO_2236500,Angola,AGO,Mulenvos,Viana,13.3344,-8.86695,13.37499,-8.90553,6.188,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_363E76F918C945,GEO_AGO_2236500,GEO_AGO_8307074,Angola,AGO,Viana,Mulenvos,13.37499,-8.90553,13.3344,-8.86695,6.188,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_22E342EF160C2B,GEO_AGO_8307074,GEO_AGO_13608165,Angola,AGO,Mulenvos,Kima Kieza,13.3344,-8.86695,13.29517,-8.83411,5.649,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_030B2EFDB756F6,GEO_AGO_13608165,GEO_AGO_8307074,Angola,AGO,Kima Kieza,Mulenvos,13.29517,-8.83411,13.3344,-8.86695,5.649,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_B436AF384C38AD,GEO_AGO_2236500,GEO_AGO_2242906,Angola,AGO,Viana,Calumbo,13.37499,-8.90553,13.41936,-9.14692,27.28,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
GEO_ROUTE_0F0A147BF4BAD7,GEO_AGO_2242906,GEO_AGO_2236500,Angola,AGO,Calumbo,Viana,13.41936,-9.14692,13.37499,-8.90553,27.28,fish|vegetable,candidate directed national access corridor,model-support topology from geolocated settlements,no observed route mass; inactive until compatible dated evidence or an explicitly requested model run,"eligible only after source, commodity, product and time activation",no,pending road-network alignment; endpoint relation only,GeoNames cities5000 dump; connection generated by predeclared national sparse-graph rule,within-country reachability support only; not evidence that food moved along this pair,NF_EDFLOW_geolocated_network_expansion_v1_2_0_2026-08-31
