node_id,country,iso3,display_name,node_class,roles,food_domains,parent_node_id,aliases,legacy_node_ids,source_references,evidence_states,coordinate_status,identity_rule,is_country_anchor,is_trade_gateway,is_evidence_node,node_layer,base_spatial_node_id,commodity_label,product_form,mass_state_role,specificity,allocation_status,operational_mass_node,direct_location_product_observation,v1_status
DZA-M-SIX-VEGETABLES-3E6DA2639,Algeria,DZA,"six vegetables @ Boudouaou, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-BOUDOUAOU-BOUMERDES-E48565ACA,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-BOUDOUAOU-BOUMERDES-E48565ACA,six vegetables,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-SIX-VEGETABLES-3C7DAE3AC,Algeria,DZA,"six vegetables @ Boudouaou, Corso, Dellys and Naceria, Boumerdes [source_stock]",mass_labelled_commodity_state,source_stock,vegetable,DZA-N-BOUDOUAOU-CORSO-DELLYS-AND-890A056,,,CHEM-DZA-BOUMERDES-VEG-2024,location-product pair retained from evidence record; quantity may be unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,yes,commodity_state,DZA-N-BOUDOUAOU-CORSO-DELLYS-AND-890A056,six vegetables,unspecified_form,source_stock,named_product_or_taxon,location-product pair retained from evidence record; quantity may be unresolved,yes,yes,new_v1_1_0_mass_state
DZA-M-SIX-VEGETABLES-FA30EB84A,Algeria,DZA,"six vegetables @ Corso, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-CORSO-BOUMERDES-1BDD2696B,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-CORSO-BOUMERDES-1BDD2696B,six vegetables,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-SIX-VEGETABLES-827F45141,Algeria,DZA,"six vegetables @ Dellys, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-DELLYS-BOUMERDES-FA438129E,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-DELLYS-BOUMERDES-FA438129E,six vegetables,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-SIX-VEGETABLES-984E6B62F,Algeria,DZA,"six vegetables @ Naceria, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-NACERIA-BOUMERDES-870E86A8F,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-NACERIA-BOUMERDES-870E86A8F,six vegetables,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-THREE-FRUITS-8F358485D,Algeria,DZA,"three fruits @ Boudouaou, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-BOUDOUAOU-BOUMERDES-E48565ACA,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-BOUDOUAOU-BOUMERDES-E48565ACA,three fruits,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-THREE-FRUITS-D58A31A77,Algeria,DZA,"three fruits @ Boudouaou, Corso, Dellys and Naceria, Boumerdes [source_stock]",mass_labelled_commodity_state,source_stock,vegetable,DZA-N-BOUDOUAOU-CORSO-DELLYS-AND-890A056,,,CHEM-DZA-BOUMERDES-VEG-2024,location-product pair retained from evidence record; quantity may be unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,yes,commodity_state,DZA-N-BOUDOUAOU-CORSO-DELLYS-AND-890A056,three fruits,unspecified_form,source_stock,named_product_or_taxon,location-product pair retained from evidence record; quantity may be unresolved,yes,yes,new_v1_1_0_mass_state
DZA-M-THREE-FRUITS-466ADDC13,Algeria,DZA,"three fruits @ Corso, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-CORSO-BOUMERDES-1BDD2696B,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-CORSO-BOUMERDES-1BDD2696B,three fruits,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-THREE-FRUITS-1F6BC2D0E,Algeria,DZA,"three fruits @ Dellys, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-DELLYS-BOUMERDES-FA438129E,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-DELLYS-BOUMERDES-FA438129E,three fruits,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-THREE-FRUITS-72176B40E,Algeria,DZA,"three fruits @ Naceria, Boumerdes [source_member_candidate]",mass_labelled_commodity_state,source_member_candidate,,DZA-N-NACERIA-BOUMERDES-870E86A8F,,,CHEM-DZA-BOUMERDES-VEG-2024,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-NACERIA-BOUMERDES-870E86A8F,three fruits,unspecified_form,source_member_candidate,named_product_or_taxon,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-UNSPECIFIED-FISH-COMMO-47087F5CE,Algeria,DZA,unspecified fish commodity @ Guelma market region [source_member_candidate],mass_labelled_commodity_state,source_member_candidate,,DZA-N-GUELMA-MARKET-REGION-4D2767D7C,,,CHEM-DZA-GUELMA-2026,product reported for compound parent; member-specific product and quantity unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,no,commodity_state,DZA-N-GUELMA-MARKET-REGION-4D2767D7C,unspecified fish commodity,unspecified_form,source_member_candidate,domain_only,product reported for compound parent; member-specific product and quantity unresolved,yes,no,new_v1_1_0_mass_state
DZA-M-UNSPECIFIED-FISH-COMMO-C7B6288C0,Algeria,DZA,unspecified fish commodity @ eastern Algerian coast / Guelma market region [source_stock],mass_labelled_commodity_state,source_stock,fish,DZA-N-EASTERN-ALGERIAN-COAST-GUE-DC99032,,,CHEM-DZA-GUELMA-2026,location-product pair retained from evidence record; quantity may be unresolved,inherits spatial parent; no new coordinate,unique country + spatial parent + commodity/form + flow role,no,no,yes,commodity_state,DZA-N-EASTERN-ALGERIAN-COAST-GUE-DC99032,unspecified fish commodity,unspecified_form,source_stock,domain_only,location-product pair retained from evidence record; quantity may be unresolved,yes,yes,new_v1_1_0_mass_state
