node_id,longitude,latitude,node_name,dominant_survey_city,source_observations,destination_observations,commodity_count,provenance
KARG_NODE_00001,-17.34954,14.77049,Dakar (Sénégal),Bamako,346,253,26,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00002,-16.95474,14.41525,Mbour (Sénégal),Bamako,0,1,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00003,-16.69218,13.42889,The Gambia,Bamako,3,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00004,-16.58567,13.46535,Banjul (the Gambia),Bamako,2,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00005,-16.07353,14.13835,Kaolack (Sénégal),Bamako,0,1,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00006,-15.96931,18.0839,Nouakchott (Mauritania),Bamako,0,8,5,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00007,-15.88941,14.84643,Touba (Sénégal),Bamako,0,3,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00008,-14.87445,14.53825,Sénégal,Bamako,45,27,10,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00009,-13.67922,9.53706,Conakry (Guinée),Bamako,118,69,15,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00010,-12.20012,14.45064,Diboli,Bamako,7,2,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00011,-11.70544,13.89161,Sadiola,Bamako,3,3,5,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00012,-11.66324,11.01133,Guinée,Bamako,32,15,10,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00013,-11.5451,14.37172,Nionsonbougou,Bamako,0,37,7,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00014,-11.50786,14.49296,Bangassi,Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00015,-11.43791,14.44341,Kayes,Bamako,22,217,25,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00016,-11.40564,14.45559,ATT bougou,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00017,-11.38907,13.09655,Djidian Kéniéba,Bamako,0,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00018,-11.37369,16.93327,Mauritania,Bamako,17,27,8,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00019,-11.36997,13.07075,Loulo,Bamako,2,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00020,-11.23215,12.84071,Kéniéba,Bamako,18,101,23,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00021,-11.058,10.96987,Dialakoro (Guineé),Bamako,0,4,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00022,-11.04821,14.56802,Maréna Diombougou,Bamako,0,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00023,-10.97696,14.2968,Beledougou,Bamako,2,3,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00024,-10.94056,15.0125,Dogofry,Bamako,7,0,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00025,-10.8982,12.43311,"Faraba (in Faraba, Kéniéba)",Bamako,6,10,10,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00026,-10.84819,13.76056,Mahina,Bamako,4,7,5,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00027,-10.8342,13.80888,Bafoulabé,Bamako,1,11,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00028,-10.57284,15.1189,Yélimané,Bamako,3,11,10,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00029,-10.46199,14.2494,Ossoubidiania,Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00030,-10.45613,13.20522,Manantaly,Bamako,5,7,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00031,-10.37748,13.59385,Oualia,Bamako,3,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00032,-10.30561,14.70348,Sandaré,Bamako,1,2,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00033,-10.16169,14.20537,Dialan,Bamako,0,1,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00034,-10.09258,9.18957,Kissidougou (Guinée),Bamako,0,2,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00035,-9.9448,12.87842,Kokofata,Bamako,0,6,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00036,-9.90686,14.50476,Lakamané,Bamako,0,6,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00037,-9.8782,13.44874,Toukoto,Bamako,0,4,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00038,-9.82649,14.13999,Sefeto,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00039,-9.80994,15.10654,Youri,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00040,-9.76008,14.19756,Marena,Bamako,0,5,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00041,-9.72502,14.13493,Karega,Bamako,10,0,6,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00042,-9.71041,11.41317,Koleda (Guinée),Bamako,0,8,6,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00043,-9.591,15.23168,Nioro,Bamako,46,43,17,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00044,-9.57657,13.85811,Kourouninkoto,Bamako,0,1,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00045,-9.56042,15.1781,"Nioro du Sahel (in Nioro, Nioro)",Bamako,1,9,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00046,-9.55221,13.35787,Balandougou,Bamako,5,2,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00047,-9.55129,14.31315,Lambidou,Bamako,2,15,7,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00048,-9.53107,14.32557,Fatao,Bamako,4,0,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00049,-9.4854,13.03503,Kita,Bamako,179,342,30,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00050,-9.47652,12.90008,Founia Moriba,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00051,-9.45406,13.19773,Djidjan,Bamako,21,9,12,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00052,-9.35318,15.04304,Bema,Bamako,2,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00053,-9.34833,14.17454,Sakora,Bamako,0,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00054,-9.32846,15.68351,"Gogui (in Gogui, Nioro)",Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00055,-9.30574,14.35924,Madiga,Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00056,-9.29907,10.37061,Kankan (Guinée),Bamako,2,112,19,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00057,-9.22862,12.68357,"Sirakoro (in Sirakoro, Kita)",Bamako,5,1,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00058,-9.22065,12.96806,Badinko (Kita),Bamako,4,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00059,-9.19127,14.5418,Diema,Bamako,51,132,23,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00060,-9.17612,11.41897,Siguiri (Guinée),Bamako,11,522,23,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00061,-9.11951,12.31168,Niagassola (Guinée),Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00062,-9.08695,13.39458,Moro-Moro,Bamako,24,0,6,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00063,-9.02693,13.07181,Touminabougou,Bamako,8,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00064,-9.00892,12.61949,Goro,Bamako,11,0,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00065,-8.9904,12.95838,Sébékoro,Bamako,1,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00066,-8.94503,12.4451,Niamou,Bamako,5,4,7,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00067,-8.90959,12.30713,Mambila,Bamako,0,6,5,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00068,-8.88168,12.95163,Kassaro,Bamako,65,57,21,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00069,-8.86049,13.39813,Madina,Bamako,3,1,4,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00070,-8.81169,11.92888,Kourémalé  (Guinée),Bamako,0,1,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00071,-8.78011,11.95456,Kourémalé (Mali),Bamako,112,1268,30,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00072,-8.75943,12.18672,Balamassala,Bamako,0,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00073,-8.74018,12.43532,Sandama,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00074,-8.73696,11.69497,Kokoyo,Bamako,2,194,28,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00075,-8.7273,12.01595,Nougani,Bamako,3,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00076,-8.67946,12.9719,Nafadji,Bamako,4,0,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00077,-8.67367,11.71279,Banancoro,Bamako,14,28,14,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00078,-8.65654,12.94163,"Soribougou (in Sebekoro, Kita)",Bamako,2,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00079,-8.63707,12.0415,Habaladougou,Bamako,0,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00080,-8.63512,12.22832,Naréna,Bamako,34,55,22,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00081,-8.60084,12.48487,Nana-Kaneiba,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00082,-8.58451,15.34023,Ballé (Nara),Bamako,2,18,10,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00083,-8.56605,14.53785,Dioumara Koussata,Bamako,8,2,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00084,-8.5257,12.13299,Karan,Bamako,26,32,18,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00085,-8.52307,11.14846,Gueleninkoro,Bamako,1,3,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00086,-8.45205,12.86502,Négala,Bamako,161,73,26,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00087,-8.45112,13.53772,Koroko (For checkpoint Kati),Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00088,-8.44136,11.22627,Soloba,Bamako,2,0,2,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00089,-8.41386,11.94154,Kangaba,Bamako,115,452,33,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00090,-8.40738,13.25985,Konimbabougou,Bamako,6,8,7,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00091,-8.39127,11.98892,Deguela,Bamako,0,75,20,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00092,-8.38319,12.40271,Djoulafoundou,Bamako,3,0,3,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00093,-8.37956,13.69457,Sebekoro I,Bamako,25,14,12,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00094,-8.36092,12.74793,Awala,Bamako,2,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00095,-8.35717,11.92678,Figuira Tomo,Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00096,-8.35344,12.38161,Kobada (Siby),Bamako,1,0,1,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00097,-8.33829,12.37423,Siby,Bamako,294,210,31,"Karg et al. 2023, Food_flow_data_v1.csv"
KARG_NODE_00098,-8.33713,13.13506,Faladié (Kati),Bamako,103,45,23,"Karg et al. 2023, Food_flow_data_v1.csv"
