target_node_id,country,node_name,latitude,longitude,coordinate_status,coordinate_precision,match_rule,verification_source,source_register_ref,source_register_sha256,retrieval_response_sha256,map_use_note
BEN-N-LOWER-MONO-RIVER-F78DBC1,Benin,Lower Mono River,6.6583333,1.6541667,verified_v0_2_0_reuse,high_for_stations_representative_for_study,normalized_exact_name,"publisher full-text PDF, p. 2",SRC-0002,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,Study-level centroid; consult sampling-site GeoJSON for the four reported stations.
BEN-N-LAKE-NOKOUE-COTONOU-LAGOON-478110A,Benin,Lake Nokoue / Cotonou Lagoon,6.4466936,2.4478658,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0003,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,1d323d391889b809a7c4e728cbd3d8c59840cc450610409fda0a17604360ac7c,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
BWA-N-LAKE-NGAMI-0CB2DD7,Botswana,Lake Ngami,-20.4854897,22.7585707,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0004,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,38d3519d60eb66ee32cc2214797c60f032d313358f2172ae3c49b11030735cbe,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
EGY-N-LAKE-MANZALA-7129ABD,Egypt,Lake Manzala,31.2760582,32.1363635,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0015,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,11a16b3a17ba49f2aa26a9a8ab3b19fb7ec47e06406d8f267849eca71bfa09de,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
EGY-N-LAKE-NASSER-B46A41B4D,Egypt,Lake Nasser,22.9883085,32.6906270,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0016,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,c14f10a5a19ad3237aa56ad74996aef1677714fde4ff4884ef88fc6e32161aaf,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
EGY-N-NUWEIBA-CITY-GULF-OF-AQABA-B125072,Egypt,"Nuweiba City, Gulf of Aqaba",29.0350000,34.6616670,country_matched_named_feature_representative,not_a_sampling_coordinate,manually_reviewed_name_variant,OpenStreetMap Nominatim,SRC-0017,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,c69c57046f3155c7899093b0dfe56cabd3de9cf6c6dd090bc545f0223e66cdca,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-LAKE-CHAMO-07A2536,Ethiopia,Lake Chamo,5.8353580,37.5687420,verified_v0_2_0_reuse,representative_not_sampling_coordinate,normalized_exact_name,frozen manuscript and handover document state station coordinates are unrecovered; Nominatim/OSM lake geometry,SRC-0019,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,Lake reference point only. This does not resolve the manuscript's Figure 1 submission hold.
ETH-N-LAKE-HAWASSA-5C43BB2,Ethiopia,Lake Hawassa,7.0562795,38.4376784,country_matched_named_feature_representative,not_a_sampling_coordinate,manually_reviewed_name_variant,OpenStreetMap Nominatim,SRC-0020,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,1957e32d17cba1a41c3715e762558556eafc4a07919ea15166867349828f85c0,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-LAKE-HAYQ-8446BB1,Ethiopia,Lake Hayq,11.3469866,39.7144019,country_matched_named_feature_representative,not_a_sampling_coordinate,manually_reviewed_name_variant,OpenStreetMap Nominatim,SRC-0021,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,0d64e9045b8ce760f3485cf994194738c930bc9fec80b575632afb7fc667845e,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-LAKE-KOKA-B42743C,Ethiopia,Lake Koka,8.3911374,39.0860496,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0022,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,fe95470e3ba988b37b9aedb3d4d0626c297b2d71e906e7cdde962fb0952be776,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-LAKE-TANA-070E8AC,Ethiopia,Lake Tana,11.9507719,37.2948780,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0023,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,ec78c47773eca87ea91c5edcda16f9118c26b7d04b09be2ddc3a7e4ab55aceea,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-LAKE-ZIWAY-4AD5F37,Ethiopia,Lake Ziway,7.9877798,38.8200713,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0024,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,eedc3e877c5125edc0c3a9a912bb21a52f87f42e19659f156e4778d393cb8558,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
GHA-N-DENSU-RIVER-BASIN-49C21DE,Ghana,Densu River Basin,5.6968042,-0.3382326,verified_v0_2_0_reuse,named_community_representative,normalized_exact_name,publisher PDF names Nsawam and Weija; Nominatim/OSM community nodes,SRC-0025,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,"Centroid of the two named communities, not a river-basin centroid or exact sampling point."
GHA-N-TONO-RESERVOIR-9668433,Ghana,Tono Reservoir,10.8945839,-1.1621002,verified_v0_2_0_reuse,representative_not_sampling_coordinate,normalized_exact_name,paper confirms Tono Reservoir near Navrongo; Nominatim/OSM water geometry,SRC-0026,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,"Reservoir reference point, not an exact fish landing or sampling station."
GHA-N-LAKE-VOLTA-8052F50,Ghana,Lake Volta,7.4927165,0.0909892,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0027,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,700f0939aba5d8832189720b3ae409ae29a8e8e392597af11970926477097568,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
KEN-N-WINAM-GULF-8E67BC432,Kenya,Winam Gulf,-0.1209444,34.7277707,verified_v0_2_0_reuse,named_community_representative,manually_reviewed_name_variant,publisher HTML Fig. 1/study-area text; Nominatim/OSM community nodes,SRC-0030,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,"Kisumu Bay community centroid, not a coordinate for every fish specimen."
MWI-N-LAKE-CHILWA-7FC6462,Malawi,Lake Chilwa,-15.4285227,35.6141350,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0031,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,e40928c67f54575b627f929da90dca51d136c46bbe46c2c2428351ceff86a8a6,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
MWI-N-LAKE-MALAWI-019F9DF,Malawi,Lake Malawi,-14.0594232,34.8872206,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0032,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,fd94294bc2eeffaf871b52f54ad0c47ead6db1b5ba57c180f80c4c014802d289,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
MAR-N-MECHRAA-HAMMADI-DAM-BB9D3A0,Morocco,Mechraa-Hammadi Dam,34.7363182,-2.8041913,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0033,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,fa6f5ef52b8679b2cf30b1f0da528987688f9421dce00ab94cc5318b287c9250,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
NGA-N-DANDARU-RIVER-IBADAN-646A9E270,Nigeria,"Dandaru River, Ibadan",7.4000000,3.9000000,verified_v0_2_0_reuse,study_area_representative,manually_reviewed_name_variant,"Europe PMC full text, Description of the study areas",SRC-0036,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,"Reported river study-area point, not a per-specimen coordinate."
NGA-N-ELEYELE-LAKE-IBADAN-F45234F1A,Nigeria,"Eleyele Lake, Ibadan",7.4250000,3.8583333,verified_v0_2_0_reuse,study_area_representative,manually_reviewed_name_variant,"Europe PMC full text, Description of the study areas",SRC-0037,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,"Midpoint of the reported lake extent, not an individual sampling station."
NGA-N-NIGER-RIVER-SYSTEM-D512859,Nigeria,Niger River system,6.7499730,6.7180021,verified_v0_2_0_reuse,low_multi_region_representative,normalized_exact_name,Europe PMC full text names five Niger-system locations; Nominatim/OSM resolves four,SRC-0039,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,National-scale multi-site study centroid; not an exact river sampling coordinate.
RWA-N-LAKE-KIVU-39B3E17,Rwanda,Lake Kivu,-2.0419009,29.2276815,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0041,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,999cb34015cf632ba72756e08de00492b03c88b48e0e29f17fd1d8b92fd713cf,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ZAF-N-GROOT-LETABA-RIVER-C6D13D0,South Africa,Groot Letaba River,-23.7729724,30.4920325,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0042,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,139d079d266b24280bf5f7ab4dba0eb6e9c7285066a6222a6ac9db583301de2b,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
SDN-N-LAKE-NUBIA-A28F98155,Sudan,Lake Nubia,21.8504009,31.2634131,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0043,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,d8dba88846446156ebb9fc7a05bc6ef8515814981437764f3c047b9297ede22d,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
UGA-N-LAKE-EDWARD-D52020BE8,Uganda,Lake Edward,-0.3823291,29.7403267,country_matched_named_feature_representative,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0048,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,4f31a46934d04a7cb12264c670ccb929fb6b01860a6a7b69a6ca1d8797e144d0,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
UGA-N-RIVER-RWIZI-1232DA4,Uganda,River Rwizi,-0.6153470,30.6691735,verified_v0_2_0_reuse,partial_named_site_representative,normalized_exact_name,Europe PMC full text and article Fig. 1; Nominatim/OSM resolves Rwebikona and Katete,SRC-0050,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,,Centroid covers the two urban fish sites (14/19 fish); the upstream Kayanja site (5/19 fish) remains unresolved.
ZMB-N-KITWE-TRIBUTARIES-KAFUE-RI-7681395,Zambia,Kitwe tributaries / Kafue River,-12.8203689,28.2155973,country_matched_city_or_market_proxy,not_a_sampling_coordinate,normalized_exact_name,OpenStreetMap Nominatim,SRC-0052,a9b5904980f4ca6b09d0b153bf49acdd26f2535d644857360e66df40adbe080b,baebefe14b7444e600c6c0539b38c47ce7e3334d8696b539bef949b47241fa1f,Representative location for atlas orientation only; not an inferred sampling or landing coordinate.
ETH-N-ADDIS-ABABA-0394BD3,Ethiopia,Addis Ababa,9.0000000,38.7500000,country_matched_destination_representative,named destination representative; not household or sampling coordinate,normalized_exact_name,Exposure Africa destination geocoding v1.4.0,DEST-001,3b56df161bba3e208380d0c9759e904cb70a59d33adc1359422eb2340838d319,,Representative destination geography for route visualization only.
KEN-N-HOMA-BAY-COUNTY-37A772665,Kenya,Homa Bay County,-0.5639601,34.3187819,country_matched_destination_representative,named destination representative; not household or sampling coordinate,manually_reviewed_name_variant,Exposure Africa destination geocoding v1.4.0,DEST-016,3b56df161bba3e208380d0c9759e904cb70a59d33adc1359422eb2340838d319,,Representative destination geography for route visualization only.
SDN-N-LAKE-NUBIA-WADI-HALFA-190B6E8,Sudan,Lake Nubia / Wadi Halfa,21.8005000,31.3507370,country_matched_destination_representative,named destination representative; not household or sampling coordinate,manually_reviewed_name_variant,Exposure Africa destination geocoding v1.4.0,DEST-031,3b56df161bba3e208380d0c9759e904cb70a59d33adc1359422eb2340838d319,,Representative destination geography for route visualization only.
BEN-N-APLAHOUE-9EB42DF51,,,6.93333,1.68333,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2395568; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
BEN-N-COTONOU-1EA876491,,,6.36536,2.41833,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2394819; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
BEN-N-GODOMEY-7B1AB41D0,,,6.38948,2.34581,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2394092; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
CMR-N-BAMENDA-763AF3E,,,5.9597,10.14597,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2234974; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
EGY-N-HURGHADA-2A0EC4F2B,,,27.25738,33.81291,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 361291; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
ETH-N-ADAMA-B60187D,,,8.55,39.26667,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 330186; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
GHA-N-TAMALE-FC5CC6C,,,9.40079,-0.8393,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2294877; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
MLI-N-BAMAKO-6A89BDE,,,12.60915,-7.97522,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2460596; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
MLI-N-KOULIKORO-C982C46,,,12.86273,-7.55985,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2454530; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
MLI-N-MOPTI-3E3B7CD,,,14.4843,-4.18296,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2453348; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
MLI-N-SEGOU-F192ABF,,,13.44032,-6.25947,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 2451478; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
SOM-N-BERBERA-1E355900A,,,10.43959,45.01432,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 64435; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
SOM-N-KISMAYO-6A5D76D71,,,-0.35817,42.54536,country-qualified exact frozen GeoNames match,settlement representative; not a sampling coordinate,unique normalized exact name or alias within ISO3 country,GeoNames 55671; CC BY 4.0,EDFLOW 2026-08-31 frozen cities5000; SHA256 9c2a5efe4724640e2d8352bf6660f23ca1bb286e9ca6cd27e62a338d12b7d781,,,
